date,season,home,away,nb_goals_home,nb_goals_away,final_result,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA
2012-08-10,2012/2013,Montpellier,Toulouse,1.0,1.0,draw,1.83,3.4,4.5,1.78,3.4,4.6,1.8,3.25,4.2,1.89,3.36,5.02,1.83,3.2,4.8,1.87,3.4,5.0
2012-08-11,2012/2013,ETG,Bordeaux,2.0,3.0,away,2.75,3.2,2.6,2.8,3.1,2.55,2.8,3.1,2.4,2.93,3.25,2.66,2.75,3.1,2.62,2.9,3.25,2.62
2012-08-11,2012/2013,Nancy,Brest,1.0,0.0,home,2.1,3.2,3.6,2.15,3.0,3.7,2.0,3.15,3.5,2.16,3.21,3.99,2.15,3.0,3.75,2.15,3.2,4.0
2012-08-11,2012/2013,Nice,Ajaccio,0.0,1.0,away,1.91,3.25,4.33,1.9,3.25,4.25,2.0,3.15,3.5,1.97,3.32,4.62,2.0,3.1,4.2,1.98,3.3,4.6
2012-08-11,2012/2013,PSG,Lorient,2.0,2.0,draw,1.33,4.75,10.0,1.3,4.75,10.5,1.37,4.25,7.5,1.36,5.13,10.67,1.33,4.5,11.0,1.33,4.5,11.5
2012-08-11,2012/2013,Rennes,Lyon,0.0,1.0,away,2.5,3.0,3.0,2.55,3.1,2.8,2.6,3.1,2.6,2.54,3.29,3.06,2.5,3.0,3.0,2.55,3.25,3.0
2012-08-11,2012/2013,Sochaux,Bastia,2.0,3.0,away,2.2,3.2,3.4,2.25,3.1,3.3,2.2,3.1,3.1,2.39,3.19,3.38,2.3,3.1,3.3,2.38,3.2,3.4
2012-08-11,2012/2013,Saint-Etienne,Lille,1.0,2.0,away,3.0,3.0,2.5,3.1,3.1,2.35,2.8,3.1,2.4,3.07,3.17,2.61,2.9,3.0,2.6,3.12,3.1,2.55
2012-08-11,2012/2013,Troyes,Valenciennes,0.0,1.0,away,2.4,3.1,3.1,2.45,3.0,3.0,2.3,3.0,3.0,2.6,3.08,3.17,2.5,3.0,3.0,2.6,3.1,3.12
2012-08-12,2012/2013,Reims,Marseille,0.0,1.0,away,3.5,3.1,2.2,3.6,3.2,2.1,3.4,3.2,2.0,3.61,3.26,2.27,3.4,3.1,2.25,3.6,3.25,2.25
2012-08-17,2012/2013,Lille,Nancy,1.0,1.0,draw,1.44,4.0,8.0,1.44,4.2,7.25,1.45,3.9,6.5,1.48,4.3,8.94,1.44,4.0,8.0,1.45,4.4,9.0
2012-08-18,2012/2013,Bastia,Reims,2.0,1.0,home,1.7,3.5,5.25,1.7,3.4,5.25,1.8,3.3,4.2,1.72,3.66,5.97,1.75,3.4,5.0,1.73,3.6,5.75
2012-08-18,2012/2013,Brest,ETG,1.0,0.0,home,2.38,3.0,3.2,2.35,3.0,3.2,2.25,3.1,3.0,2.55,3.1,3.27,2.25,3.2,3.2,2.5,3.12,3.25
2012-08-18,2012/2013,Lorient,Montpellier,2.0,1.0,home,2.7,3.0,2.75,2.8,3.2,2.65,2.62,3.05,2.6,2.8,3.11,2.93,2.8,3.0,2.7,2.75,3.1,2.9
2012-08-18,2012/2013,Lyon,Troyes,4.0,1.0,home,1.44,4.2,7.5,1.44,4.1,7.5,1.35,4.5,7.3,1.45,4.66,8.67,1.36,4.33,9.5,1.44,4.6,9.0
2012-08-18,2012/2013,Toulouse,Saint-Etienne,2.0,1.0,home,2.15,3.0,3.75,2.15,3.1,3.5,2.1,3.1,3.3,2.22,3.08,3.99,2.1,3.1,3.75,2.2,3.1,4.0
2012-08-18,2012/2013,Valenciennes,Nice,0.0,0.0,draw,1.91,3.25,4.33,1.9,3.2,4.33,1.9,3.3,3.7,1.99,3.32,4.62,1.91,3.2,4.33,1.98,3.3,4.6
2012-08-19,2012/2013,Ajaccio,PSG,0.0,0.0,draw,6.0,3.6,1.62,6.25,3.9,1.53,4.4,3.5,1.7,6.55,3.83,1.65,6.5,3.6,1.57,6.5,3.8,1.62
2012-08-19,2012/2013,Bordeaux,Rennes,1.0,0.0,home,2.1,3.1,3.75,2.1,3.1,4.0,2.0,3.2,3.4,2.1,3.28,4.14,2.1,3.1,3.75,2.1,3.25,4.1
2012-08-19,2012/2013,Marseille,Sochaux,2.0,0.0,home,1.44,4.0,8.0,1.48,3.9,7.25,1.5,3.8,5.7,1.48,4.42,8.38,1.44,4.0,8.0,1.45,4.4,8.5
2012-08-24,2012/2013,ETG,Lyon,1.0,1.0,draw,3.6,3.2,2.1,3.6,3.25,2.05,3.2,3.2,2.1,3.8,3.32,2.17,3.25,3.25,2.25,3.75,3.3,2.2
2012-08-25,2012/2013,Nancy,Toulouse,0.0,1.0,away,2.38,3.1,3.1,2.35,3.0,3.2,2.4,3.1,2.75,2.44,3.08,3.45,2.4,3.1,3.1,2.4,3.1,3.4
2012-08-25,2012/2013,Nice,Lille,2.0,2.0,draw,4.0,3.2,2.0,3.9,3.3,2.05,3.2,3.2,2.1,3.95,3.15,2.2,3.8,3.2,2.05,3.9,3.12,2.2
2012-08-25,2012/2013,Reims,Sochaux,1.0,0.0,home,2.15,3.2,3.5,2.15,3.1,3.5,2.2,3.1,3.1,2.15,3.23,3.91,2.25,3.2,3.2,2.15,3.2,3.9
2012-08-25,2012/2013,Rennes,Bastia,3.0,2.0,home,1.83,3.4,4.5,1.78,3.4,5.0,1.77,3.4,4.25,1.92,3.43,4.8,1.7,3.6,5.0,1.9,3.4,4.75
2012-08-25,2012/2013,Troyes,Lorient,2.0,2.0,draw,2.6,3.0,2.9,2.7,3.0,2.75,2.62,3.0,2.62,2.75,3.12,2.92,2.6,3.1,2.8,2.75,3.1,2.9
2012-08-25,2012/2013,Valenciennes,Ajaccio,3.0,0.0,home,1.83,3.25,4.75,1.85,3.25,4.5,1.85,3.4,3.8,1.88,3.39,5.05,1.8,3.5,4.5,1.87,3.4,5.0
2012-08-26,2012/2013,Montpellier,Marseille,0.0,1.0,away,2.3,3.1,3.2,2.35,3.1,3.3,2.45,3.1,2.7,2.38,3.21,3.4,2.4,3.25,2.9,2.38,3.2,3.4
2012-08-26,2012/2013,PSG,Bordeaux,0.0,0.0,draw,1.57,3.6,6.5,1.6,3.6,6.0,1.7,3.5,4.4,1.59,3.94,6.93,1.62,3.75,5.5,1.6,3.9,7.0
2012-08-26,2012/2013,Saint-Etienne,Brest,4.0,0.0,home,1.7,3.5,5.25,1.65,3.4,6.0,1.75,3.4,4.3,1.66,3.65,6.66,1.7,3.6,5.0,1.67,3.6,6.5
